num_points,avg_dist,r1,r2,r3
9848,0.001931677173728809,0.0010008932095128778,0.0014447664159267346,0.0030014945248198564
4171,0.003002182029227718,0.001,0.0031562982398629117,0.004534706121646999
5804,0.0023642358572928666,0.001,0.002722490413213423,0.003940774041049913
14203,0.0019566685805156195,0.001,0.0020648212226362862,0.002854494687338851
6072,0.0017104963514414993,0.001,0.001602072674720241,0.0025040623783007887
11025,0.0016466407097521993,0.001,0.001552517234901669,0.0023098690651129896
13604,0.001230192295581064,0.001,0.0011432349975041929,0.001717464787473605
8664,0.0011662712603112116,0.001002503733506249,0.0010678632412998393,0.0018952159027884443
7815,0.0019156120525353148,0.001,0.00177705817918726,0.0026106192436859054
3632,0.0016445281490009601,0.001,0.0017960579702841792,0.002373880276998056
4356,0.001196672679879044,0.0010269348152812394,0.0011921728621153292,0.0017584877840541786
12499,0.0013859744967461287,0.001058064283489517,0.0013865179131283037,0.001962044952344722
2789,0.0014366001863042274,0.001,0.0016590670078711278,0.0017786665735563007
8404,0.0010937085208531376,0.001,0.001005737540268394,0.0016931401639438603
57145,0.0012333123002441725,0.001,0.0010136918699184378,0.0019062411337276634
8014,0.001346617007158533,0.001,0.001153974298144993,0.002090832266790149
43250,0.0011685737585082718,0.001,0.0010161345657712071,0.001715346682121114
6222,0.0015896105814663477,0.001,0.0016339572133130414,0.002365905206462342
7549,0.0017738037718373983,0.001,0.001830716793958232,0.0024274803833855326
9695,0.001310766386854899,0.0010546383086142625,0.0013881288930924606,0.0019518277425985269
6646,0.0008711306585778122,0.0010218966949168138,0.0010835087258814129,0.001175812324216977
6374,0.001342593496874297,0.0010118713902350959,0.0013218727571616803,0.002184249594808589
3566,0.0016239107487222362,0.001,0.001438017046365985,0.002363337250446708
19674,0.001264386556756628,0.001,0.0011398430500978351,0.0018967723049116824
12363,0.0015615952485671736,0.0010012604509007138,0.0013584185906109966,0.0022990580169136503
6791,0.0014588248961606971,0.001,0.0014585259605308736,0.0022227526506601544
6708,0.0015108066127107979,0.001,0.001435927340343065,0.002105351505142125
19743,0.0010875033841608837,0.001,0.0011299376648798692,0.0016237702465500981
25196,0.0015398097276579845,0.001,0.0014749663277425005,0.0022855121157720057
8068,0.0015552636189897612,0.001,0.0015084989639691832,0.0022106241110558056
7775,0.001531662888656203,0.001,0.0015786284151928945,0.0022484251136124208
35849,0.0016654668631100999,0.001,0.0014464560272376796,0.0024121964319490543
7289,0.00147300907162854,0.001,0.0011575819903429055,0.002229714625438261
2136,0.0014309042462301472,0.001,0.0012988167403292612,0.00213448224754135
4803,0.0013784812375762941,0.001,0.0014218899302380988,0.0020076446404721695
3962,0.0007676781629622653,0.001042649333266878,0.0010765674895375646,0.0011740686516042648
29359,0.0010513833453024946,0.001,0.001016831310442342,0.0015630478141134211
8155,0.0015116645667084803,0.0010054266892256685,0.0012384633358482494,0.00210306785526696
3227,0.00221836690328947,0.0012576469702594677,0.0022120517977404523,0.0032135106317105772
12098,0.0012880493303353854,0.001,0.0013160486334332531,0.0019106736642978573
13801,0.0013849740841820855,0.001,0.0012723917683588417,0.0021218847320838216
8139,0.0013342467993476084,0.001,0.0013636524658345746,0.0019365815616666198
11573,0.0016276489454844115,0.001,0.001058084218985585,0.0023558150717966947
5143,0.0019031136434859413,0.001,0.0021484248721561545,0.0028208980722265577
8356,0.0014738031541545063,0.001,0.0014944943559099262,0.0023048572172483096
30918,0.0009111413315308661,0.0010902198631264142,0.0010335820371746125,0.0013219850136582053
18019,0.0017279869162794776,0.001,0.0017822535108094615,0.002706650150715626
4856,0.0015016924042236355,0.001,0.001312060914908056,0.0021789883452361554
21020,0.0012354389954968709,0.001,0.001270776060715969,0.0016752441736603981
7522,0.001242086890523354,0.001,0.0013293712856421865,0.001831736595317872
2173,0.001513943616524097,0.001,0.001573666778314832,0.0023129246239021787
6579,0.0015874464948232546,0.001,0.0013218761511947141,0.002550624476817877
11663,0.0019672613316312486,0.001,0.0021071056390564932,0.0027859758679079126
1810,0.0008819112742226495,0.001,0.001,0.0013107925819024514
6400,0.0011834328300484088,0.001,0.001142367771841718,0.0017639681009156236
5753,0.0012812324445230657,0.001,0.0013333255276411868,0.0018438460340115467
4870,0.0012783675548151264,0.001,0.001198998170842049,0.0018465614069323101
3296,0.0008906588408670386,0.0010391654858188891,0.0010396704917792173,0.0012697531015469716
5504,0.0009534267916746417,0.001,0.001,0.0013961273399064407
12087,0.0013495295901349198,0.001,0.0012800243825998759,0.0019247918675479774
7507,0.0024344912594714357,0.001,0.0028519065660295427,0.003383286254875971
32524,0.0014460832275793357,0.001,0.00149343653850156,0.0022270460897980023
2599,0.0009880146520015766,0.0010378398062188695,0.0010734757063663317,0.0014293123203502696
9039,0.0014982641157294952,0.001,0.0015431651699102768,0.002257167608813037
852,0.0010678393022833213,0.001,0.0010712845852786919,0.0015263038524728054
4023,0.001152114478253062,0.001,0.001090265981738766,0.0017036987761895601
3919,0.0009225668016368899,0.0010121648464540057,0.001,0.001336109329613383
8454,0.03793909982787241,0.012764631298547338,0.04239987146043801,0.0503701256798612
